#time fluence Helium_content Vacancy_content Interstitial_content Helium_surface Vacancy_surface Interstitial_surface Helium_burst Deuterium_burst Tritium_burst
0 0 0 0 0 0 0 0 0 0 0
1e-12 4e-07 3.59885e-07 3.63729e-20 3.49406e-20 0 0 0 0 0 0
1.1e-11 4.4e-06 3.59748e-06 2.66878e-16 1.68562e-16 5.21114e-07 0 3.28596e-20 0 0 0
1.11e-10 4.44e-05 2.91857e-05 1.57236e-12 3.31791e-13 9.9174e-06 2.86489e-82 2.10523e-15 0 0 0
1.111e-09 0.0004444 0.000179523 2.17158e-10 2.41409e-11 0.000188378 1.33486e-70 1.34789e-11 0 0 0
7.70823e-09 0.00308329 0.000637152 2.30842e-08 9.52853e-10 0.00211607 -7.91571e-61 3.3838e-09 0 0 0
4.37668e-08 0.0175067 0.00173147 1.09622e-06 1.97637e-08 0.0149112 -2.85129e-53 2.60719e-07 0 0 0
2.45557e-07 0.0982229 0.00456123 3.77749e-05 2.72311e-07 0.0916095 -4.21784e-47 1.15759e-05 0 0 0
1.06251e-06 0.425005 0.0119851 0.000480851 4.72294e-06 0.410587 -1.82074e-42 0.000254615 0 0 0
2.73219e-06 1.09287 0.0273382 0.00228609 8.97908e-05 1.06529 3.76779e-39 0.001479 0 0 0
5.9909e-06 2.39636 0.0630465 0.00819013 0.000429257 2.33904 1.9561e-37 0.00576363 0 0 0
1.10405e-05 4.41622 0.131212 0.0209703 0.0010427 4.30156 1.88819e-36 0.016067 0 0 0
1.84146e-05 7.36586 0.253789 0.0451485 0.00200504 7.14658 7.13844e-36 0.0363084 0 0 0
2.87932e-05 11.5173 0.464973 0.0888925 0.00345025 11.1154 1.71522e-35 0.0730026 0 0 0
4.29051e-05 17.162 0.813467 0.166675 0.00562981 16.4549 3.19648e-35 0.13825 0 0 0
6.156e-05 24.624 1.35755 0.292112 0.00884887 23.4279 4.75772e-35 0.250242 0 0 0
