#He	V	#exp(-EHe)
0	0	0.000E+000
0	0	0.000E+000
1	0	0.000E+000
2	0	4.2147281477591764E-01
3	0	2.9819727942988739E-01
4	0	2.1013607120076472E-01
5	0	2.5666077695355588E-01
6	0	2.1438110142697794E-01
7	0	1.5567263036799731E-01
8	0	1.5567263036799731E-01
9	0	1.3806923731089282E-01
0	1	0.000E+000
1	1	6.1580198871688972E-03
2	1	4.8801218362012962E-02
3	1	5.5576212611483058E-02
4	1	6.0204992392373542E-02
5	1	9.8273585604361544E-02
6	1	7.5774004022845481E-02
7	1	1.2745396989482075E-01
8	1	1.0025884372280375E-01
9	1	1.0228420671553748E-01
10	1	1.1648415777349697E-01
11	1	9.7295747089532758E-02
12	1	5.5023220056407231E-02
13	1	5.6134762834133725E-02
14	1	1.6365413680270405E-01
15	1	1.4227407158651359E-01
16	1	9.8273585604361544E-02
0	2	0.000E+000
1	2	4.5619733357350964E-03
2	2	4.4716402113483319E-03
3	2	1.8499714119819242E-02
4	2	3.5084354100845025E-02
5	2	3.6883167401240015E-02
6	2	3.7253849396215809E-02
7	2	3.8006427075174314E-02
8	2	4.8801218362012962E-02
9	2	4.9291678760462171E-02
10	2	7.7304740443299741E-02
11	2	6.1421213915000127E-02
12	2	7.8866399790674946E-02
13	2	7.8866399790674946E-02
14	2	6.5874754426402948E-02
15	2	8.2084998623898800E-02
16	2	6.2038507377358318E-02
17	2	6.8563154154277911E-02
18	2	6.8563154154277911E-02
19	2	6.3291768359640732E-02
20	2	5.1818917172725833E-02
21	2	8.2084998623898800E-02
22	2	6.7880939371761442E-02
23	2	9.2550577510343290E-02
24	2	4.4600955340274535E-02
25	2	7.2078462238766100E-02
26	2	7.6535545423911513E-02
0	3	0.000E+000
1	3	3.4135584433954303E-03
2	3	4.3830958026687761E-03
3	3	4.1278441742554359E-03
4	3	1.3842662086479501E-02
5	3	1.8315638888734179E-02
6	3	2.0241911445804391E-02
7	3	2.7875698255247015E-02
8	3	2.9599435167891999E-02
9	3	3.3373269960326080E-02
10	3	3.1429762018367710E-02
11	3	4.1171870939067740E-02
12	3	4.2003597903445551E-02
13	3	3.6883167401240015E-02
14	3	5.5023220056407231E-02
15	3	5.5576212611483058E-02
16	3	5.3933687300356019E-02
17	3	5.6134762834133725E-02
18	3	5.2865728738350368E-02
19	3	6.2038507377358318E-02
20	3	6.3291768359640732E-02
21	3	4.9787068367863944E-02
22	3	4.9787068367863944E-02
23	3	6.2038507377358318E-02
24	3	5.5576212611483058E-02
25	3	6.7880939371761442E-02
26	3	5.9012853669447841E-02
0	4	0.000E+000
1	4	2.6584819887763671E-03
2	4	3.4825168982116632E-03
3	4	3.4825168982116632E-03
4	4	3.3126725448998926E-03
5	4	1.1333413154667387E-02
6	4	1.7597472415623393E-02
7	4	1.3981783153338308E-02
8	4	1.5298507566725518E-02
9	4	1.6244514441949871E-02
10	4	1.6572675401761255E-02
11	4	2.9013327082197053E-02
12	4	3.2064685327860769E-02
13	4	3.9163895098987066E-02
14	4	3.3373269960326080E-02
15	4	3.1117030661060859E-02
16	4	4.3282797901965896E-02
17	4	3.8006427075174314E-02
18	4	3.8774207831722009E-02
19	4	4.0762203978366211E-02
20	4	6.2662004742153152E-02
21	4	4.3282797901965896E-02
22	4	5.3933687300356019E-02
23	4	4.8801218362012962E-02
24	4	6.3927861206707570E-02
25	4	4.6887695219988486E-02
26	4	4.6421154857431271E-02
27	4	4.2852126867040187E-02
28	4	4.8801218362012962E-02
29	4	6.6536806715016855E-02
30	4	5.2865728738350368E-02
31	4	5.6134762834133725E-02
32	4	5.8425665964500828E-02
33	4	5.5023220056407231E-02
34	4	6.4570346893168470E-02
35	4	5.0792833864898503E-02
36	4	2.7598330423249287E-02
37	4	9.5369162215549613E-02
38	4	3.3373269960326080E-02
39	4	6.5874754426402948E-02
40	4	6.0204992392373542E-02
41	4	5.5023220056407231E-02
42	4	6.2662004742153152E-02
0	5	0.000E+000
1	5	2.1334817700377081E-03
2	5	2.9380769802235503E-03
3	5	3.2147682753068700E-03
4	5	3.2147682753068700E-03
5	5	3.2797109023435730E-03
6	5	1.0780676072743084E-02
7	5	1.0254896296404022E-02
8	5	1.2155178329914935E-02
9	5	1.4995576820477703E-02
10	5	1.3981783153338308E-02
11	5	1.5764416484854486E-02
12	5	1.5298507566725518E-02
13	5	2.3052063287225571E-02
14	5	1.6739233558580632E-02
15	5	3.1117030661060859E-02
16	5	2.8155853680300106E-02
17	5	3.3041200375886932E-02
18	5	3.6883167401240015E-02
19	5	3.4735258944738563E-02
20	5	3.1429762018367710E-02
21	5	4.4157168419692860E-02
22	5	3.2386940772907040E-02
23	5	5.2339705948432381E-02
24	5	4.1585655121173161E-02
25	5	3.7628256807176221E-02
26	5	4.6421154857431271E-02
27	5	4.2003597903445551E-02
28	5	5.7844320874838456E-02
29	5	4.1585655121173161E-02
30	5	4.6887695219988486E-02
31	5	4.7834889494198368E-02
32	5	3.7628256807176221E-02
33	5	4.6887695219988486E-02
34	5	5.7844320874838456E-02
35	5	5.6698926579846903E-02
36	5	4.2425741080511385E-02
37	5	4.8801218362012962E-02
38	5	5.2865728738350368E-02
39	5	4.8315638126067789E-02
40	5	1.3167547490079751E-02
41	5	1.5259010575688389E-01
42	5	4.2425741080511385E-02
43	5	7.2991308467885829E-03
0	6	0.000E+000
1	6	2.1122532717327142E-03
2	6	2.2205508127982939E-03
3	6	3.1197575141649948E-03
4	6	3.0887154082367687E-03
5	6	3.1511115984444414E-03
6	6	3.0887154082367687E-03
7	6	1.0673406553522925E-02
8	6	9.9518183078484198E-03
9	6	9.9518183078484198E-03
10	6	7.6733652878954893E-03
11	6	1.3433549594245314E-02
12	6	1.1562363287468536E-02
13	6	1.7422374639493515E-02
14	6	1.6572675401761255E-02
15	6	2.1493601345089923E-02
16	6	1.9063114291611637E-02
17	6	1.6082878822588433E-02
18	6	2.4233967845691113E-02
19	6	2.3517745856009107E-02
20	6	3.6516173753740402E-02
21	6	3.1429762018367710E-02
22	6	3.5084354100845025E-02
23	6	3.2712434939019819E-02
24	6	3.6883167401240015E-02
25	6	2.8155853680300106E-02
26	6	4.2852126867040187E-02
27	6	3.9163895098987066E-02
28	6	3.4389637343472709E-02
29	6	4.5959256649044204E-02
30	6	3.0197383422318501E-02
31	6	4.8315638126067789E-02
32	6	4.0762203978366211E-02
33	6	4.0356613272031147E-02
34	6	4.5501954404621570E-02
35	6	3.8006427075174314E-02
36	6	5.0287436723591865E-02
37	6	3.8388398017552075E-02
