#He	V	#exp(-EHe)
38	6	5.5576212611483058E-02
39	6	5.1818917172725833E-02
40	6	4.7834889494198368E-02
41	6	5.5023220056407231E-02
42	6	4.7358924391140929E-02
43	6	4.7358924391140929E-02
44	6	4.4600955340274535E-02
45	6	4.8315638126067789E-02
46	6	5.2865728738350368E-02
47	6	6.3291768359640732E-02
48	6	4.4157168419692860E-02
49	6	5.1303310331919108E-02
50	6	3.8388398017552075E-02
0	7	0.000E+000
1	7	2.1122532717327142E-03
2	7	2.2654089148143220E-03
3	7	2.8228733340153363E-03
4	7	2.4296695950245975E-03
5	7	3.1827807965096669E-03
6	7	3.0887154082367687E-03
7	7	3.1197575141649948E-03
8	7	8.6516952031206341E-03
9	7	8.3124573819231187E-03
10	7	8.2297470490200302E-03
11	7	8.6516952031206341E-03
12	7	1.0889023668554451E-02
13	7	1.2525358621074385E-02
14	7	1.2277339903068436E-02
15	7	1.5607557919982831E-02
16	7	1.3981783153338308E-02
17	7	1.7422374639493515E-02
18	7	1.9643672553065292E-02
19	7	1.8133395236801075E-02
20	7	1.8685639337732773E-02
21	7	2.0858369425214716E-02
22	7	2.2370771856165601E-02
23	7	2.2148178957037315E-02
24	7	3.2712434939019819E-02
25	7	3.2064685327860769E-02
26	7	3.0197383422318501E-02
27	7	3.2712434939019819E-02
28	7	3.0500872171217483E-02
29	7	3.8388398017552075E-02
30	7	2.6782676492638175E-02
31	7	4.0762203978366211E-02
32	7	3.6883167401240015E-02
33	7	3.9955058260653896E-02
34	7	3.0807411032751076E-02
35	7	3.4735258944738563E-02
36	7	4.2852126867040187E-02
37	7	3.8388398017552075E-02
38	7	3.6152831754046426E-02
39	7	4.1171870939067740E-02
40	7	3.5084354100845025E-02
41	7	4.0356613272031147E-02
42	7	6.2038507377358318E-02
43	7	3.4389637343472709E-02
44	7	4.6421154857431271E-02
45	7	4.4600955340274535E-02
46	7	5.1818917172725833E-02
47	7	3.9163895098987066E-02
48	7	3.9955058260653896E-02
49	7	6.4570346893168470E-02
50	7	3.8388398017552075E-02
51	7	3.5084354100845025E-02
52	7	5.3397038145197084E-02
0	8	0.000E+000
1	8	2.1122532717327142E-03
2	8	2.1122532717327142E-03
3	8	2.2654089148143220E-03
4	8	2.3111732106021292E-03
5	8	3.1827807965096669E-03
6	8	3.0887154082367687E-03
7	8	3.1197575141649948E-03
8	8	3.0275547453758153E-03
9	8	8.2297470490200302E-03
10	8	7.5970140275775670E-03
11	8	7.4465830709243381E-03
12	8	7.0129278325854246E-03
13	8	1.1333413154667387E-02
14	8	1.0780676072743084E-02
15	8	1.0152858373369763E-02
16	8	1.2525358621074385E-02
17	8	1.5607557919982831E-02
18	8	1.2277339903068436E-02
19	8	1.3568559012200934E-02
20	8	1.6407774526292645E-02
21	8	1.5146284873046980E-02
22	8	2.9304915867040759E-02
23	8	2.0445346037937653E-02
24	8	2.0040501061684014E-02
25	8	1.9254701775386920E-02
26	8	2.1709615629848571E-02
27	8	2.4233967845691113E-02
28	8	2.0241911445804391E-02
29	8	4.0356613272031147E-02
30	8	3.3708676899572396E-02
31	8	3.4047454734599344E-02
32	8	2.9896914436926322E-02
33	8	2.8438824714184505E-02
34	8	3.4047454734599344E-02
35	8	3.1117030661060859E-02
36	8	3.1429762018367710E-02
37	8	2.8438824714184505E-02
38	8	3.8774207831722009E-02
39	8	3.6883167401240015E-02
40	8	2.9013327082197053E-02
41	8	3.3041200375886932E-02
42	8	3.5436957721598640E-02
43	8	3.6152831754046426E-02
44	8	4.9291678760462171E-02
45	8	4.2003597903445551E-02
46	8	3.1745636378067939E-02
47	8	4.6887695219988486E-02
48	8	5.0287436723591865E-02
49	8	3.4047454734599344E-02
50	8	3.2712434939019819E-02
51	8	5.5023220056407231E-02
52	8	6.5219289668127525E-02
53	8	4.2003597903445551E-02
54	8	4.3717797252750941E-02
55	8	4.1171870939067740E-02
56	8	3.8388398017552075E-02
57	8	3.6883167401240015E-02
0	9	0.000E+000
1	9	2.1122532717327142E-03
2	9	2.1122532717327142E-03
3	9	2.2428677194858034E-03
4	9	2.6584819887763671E-03
5	9	2.4054939786195095E-03
6	9	2.6584819887763671E-03
7	9	3.1511115984444414E-03
8	9	3.1511115984444414E-03
9	9	3.0579821764233073E-03
10	9	7.3724883313680120E-03
11	9	6.9431480347461145E-03
12	9	6.6045267093148112E-03
13	9	6.8740625574962482E-03
14	9	9.7547591023429032E-03
15	9	1.0152858373369763E-02
16	9	1.1220643809589084E-02
17	9	1.0051835744633586E-02
18	9	1.3036528203437736E-02
19	9	1.1914489672789647E-02
20	9	1.4407591843112350E-02
21	9	1.7422374639493515E-02
22	9	1.1678566970395442E-02
23	9	1.4264233908999256E-02
24	9	1.7774329953659442E-02
25	9	1.8315638888734179E-02
26	9	2.2370771856165601E-02
27	9	1.7077388507484793E-02
28	9	2.2595601851121864E-02
29	9	2.2822691425092981E-02
30	9	2.3517745856009107E-02
31	9	1.9643672553065292E-02
32	9	2.1067999523041434E-02
33	9	3.3041200375886932E-02
34	9	2.6252343965687961E-02
35	9	3.2712434939019819E-02
36	9	3.5084354100845025E-02
37	9	2.4972002042276155E-02
38	9	3.2712434939019819E-02
39	9	2.9599435167891999E-02
40	9	3.3373269960326080E-02
41	9	3.5084354100845025E-02
42	9	3.1745636378067939E-02
43	9	3.5084354100845025E-02
44	9	3.6883167401240015E-02
45	9	2.7323722447292559E-02
46	9	2.7875698255247015E-02
47	9	4.3282797901965896E-02
48	9	3.1429762018367710E-02
49	9	2.9013327082197053E-02
50	9	4.4600955340274535E-02
51	9	3.9955058260653896E-02
52	9	3.9557498788398725E-02
53	9	3.9955058260653896E-02
54	9	5.0287436723591865E-02
55	9	3.9163895098987066E-02
56	9	5.5023220056407231E-02
57	9	2.2370771856165601E-02
58	9	5.9605942708939368E-02
59	9	4.2852126867040187E-02
60	9	2.8438824714184505E-02
61	9	4.7358924391140929E-02
62	9	4.0356613272031147E-02
63	9	3.7628256807176221E-02
64	9	5.5023220056407231E-02
65	9	3.4389637343472709E-02
0	10	0.000E+000
1	10	2.1122532717327142E-03
2	10	2.1122532717327142E-03
3	10	2.1334817700377081E-03
4	10	2.2881766529221693E-03
5	10	2.3344008875291352E-03
6	10	2.3344008875291352E-03
7	10	3.1827807965096669E-03
8	10	3.1511115984444414E-03
9	10	3.0579821764233073E-03
10	10	3.0579821764233073E-03
11	10	6.6045267093148112E-03
12	10	6.4737483182894049E-03
13	10	6.2824201408011177E-03
14	10	6.4737483182894049E-03
15	10	9.6576976275377768E-03
16	10	1.0152858373369763E-02
17	10	1.1447315850505711E-02
18	10	8.3959989674914706E-03
19	10	1.0567204383852655E-02
20	10	1.2525358621074385E-02
21	10	9.9518183078484198E-03
22	10	1.2906812580479873E-02
23	10	1.6082878822588433E-02
24	10	1.5764416484854486E-02
25	10	1.2525358621074385E-02
26	10	1.4698644504901784E-02
27	10	1.3299883542443767E-02
28	10	1.4122302410163962E-02
29	10	2.7323722447292559E-02
30	10	2.5476469946681016E-02
31	10	2.4477523271652670E-02
32	10	2.0445346037937653E-02
33	10	2.3283740374897010E-02
34	10	1.6407774526292645E-02
35	10	2.6782676492638175E-02
36	10	1.9448214745385391E-02
37	10	1.8685639337732773E-02
38	10	3.3041200375886932E-02
39	10	3.1745636378067939E-02
40	10	2.9599435167891999E-02
41	10	3.6883167401240015E-02
42	10	2.9013327082197053E-02
43	10	2.6516184408894181E-02
44	10	3.4389637343472709E-02
45	10	3.3373269960326080E-02
46	10	2.7598330423249287E-02
47	10	2.9304915867040759E-02
48	10	2.8724639654239433E-02
49	10	4.1585655121173161E-02
50	10	2.5732512726359940E-02
51	10	3.6516173753740402E-02
52	10	3.0807411032751076E-02
53	10	3.3373269960326080E-02
54	10	3.3373269960326080E-02
55	10	3.6152831754046426E-02
56	10	3.3708676899572396E-02
57	10	3.8774207831722009E-02
58	10	5.3397038145197084E-02
59	10	3.6883167401240015E-02
60	10	4.5959256649044204E-02
61	10	3.5793105067655297E-02
62	10	3.6883167401240015E-02
63	10	3.4735258944738563E-02
64	10	3.8774207831722009E-02
65	10	4.5049202393557801E-02
66	10	3.5793105067655297E-02
67	10	3.9557498788398725E-02
68	10	4.3282797901965896E-02
69	10	4.2425741080511385E-02
70	10	3.9163895098987066E-02
71	10	5.2865728738350368E-02
72	10	3.6152831754046426E-02
73	10	4.7834889494198368E-02
74	10	4.2003597903445551E-02
0	11	0.000E+000
1	11	2.1122532717327142E-03
2	11	2.1122532717327142E-03
3	11	2.1122532717327142E-03
4	11	2.2881766529221693E-03
5	11	2.4540881804139170E-03
6	11	2.5288262922292556E-03
7	11	2.3344008875291352E-03
8	11	3.0887154082367687E-03
9	11	3.1511115984444414E-03
10	11	3.0275547453758153E-03
11	11	3.0275547453758153E-03
12	11	5.2475183991813846E-03
13	11	6.0967465655156379E-03
14	11	6.0967465655156379E-03
15	11	5.9760228950059427E-03
16	11	8.5656093974980606E-03
17	11	8.3124573819231187E-03
18	11	8.9151785484395535E-03
19	11	9.0952771016958155E-03
20	11	1.0357959717613696E-02
21	11	1.0254896296404022E-02
22	11	1.1447315850505711E-02
23	11	1.4407591843112350E-02
24	11	1.0889023668554451E-02
25	11	1.4846368338086832E-02
26	11	1.4264233908999256E-02
27	11	1.1562363287468536E-02
28	11	1.3981783153338308E-02
29	11	1.6407774526292645E-02
30	11	1.4264233908999256E-02
31	11	1.8873433135151486E-02
32	11	2.1279736438377168E-02
33	11	1.6244514441949871E-02
34	11	2.5476469946681016E-02
35	11	2.5222974835227212E-02
36	11	2.4233967845691113E-02
37	11	1.9448214745385391E-02
38	11	1.6739233558580632E-02
39	11	2.6516184408894181E-02
40	11	1.7422374639493515E-02
41	11	2.1067999523041434E-02
42	11	2.2370771856165601E-02
43	11	3.1117030661060859E-02
44	11	3.4735258944738563E-02
45	11	2.1709615629848571E-02
46	11	3.7253849396215809E-02
47	11	3.5084354100845025E-02
48	11	2.8438824714184505E-02
49	11	2.9896914436926322E-02
50	11	2.5222974835227212E-02
51	11	2.9304915867040759E-02
52	11	3.3373269960326080E-02
53	11	3.2712434939019819E-02
54	11	3.3373269960326080E-02
55	11	2.1067999523041434E-02
56	11	3.6516173753740402E-02
57	11	2.2370771856165601E-02
58	11	4.7834889494198368E-02
59	11	3.3373269960326080E-02
60	11	3.3041200375886932E-02
61	11	3.4047454734599344E-02
62	11	3.9557498788398725E-02
63	11	4.2425741080511385E-02
64	11	3.9163895098987066E-02
65	11	1.9254701775386920E-02
66	11	8.2084998623898800E-02
67	11	1.9643672553065292E-02
68	11	5.7844320874838456E-02
69	11	2.1279736438377168E-02
70	11	6.5874754426402948E-02
71	11	3.8774207831722009E-02
72	11	1.6572675401761255E-02
73	11	3.9557498788398725E-02
74	11	5.6845688192195950E-03
75	11	1.4085842092104500E-01
76	11	8.6516952031206341E-03
77	11	5.8425665964500828E-02
0	12	0.000E+000
1	12	2.1122532717327142E-03
2	12	2.1122532717327142E-03
3	12	2.1122532717327142E-03
4	12	2.1549236182976149E-03
5	12	2.5288262922292556E-03
6	12	2.3344008875291352E-03
7	12	2.6852001769538205E-03
8	12	2.2881766529221693E-03
9	12	2.4787521766663585E-03
10	12	3.1197575141649948E-03
11	12	2.9088426258125841E-03
12	12	2.9380769802235503E-03
13	12	5.2475183991813846E-03
14	12	6.2199090159425728E-03
15	12	4.7958707102964213E-03
16	12	5.9760228950059427E-03
17	12	6.7379469990854670E-03
18	12	6.4093334462563831E-03
19	12	8.5656093974980606E-03
20	12	7.9070540515934415E-03
21	12	1.0889023668554451E-02
22	12	9.5616019305435045E-03
23	12	1.0357959717613696E-02
24	12	9.2790138870647437E-03
25	12	1.0357959717613696E-02
26	12	1.2906812580479873E-02
27	12	1.2906812580479873E-02
28	12	1.1447315850505711E-02
29	12	1.1447315850505711E-02
30	12	1.4264233908999256E-02
31	12	1.7422374639493515E-02
32	12	1.7249019115346279E-02
33	12	1.7077388507484793E-02
34	12	1.6739233558580632E-02
35	12	1.9254701775386920E-02
36	12	1.8133395236801075E-02
37	12	1.7249019115346279E-02
38	12	2.3052063287225571E-02
39	12	2.2370771856165601E-02
40	12	2.3517745856009107E-02
41	12	1.7774329953659442E-02
42	12	1.9448214745385391E-02
43	12	1.7422374639493515E-02
44	12	2.1067999523041434E-02
45	12	2.3992835836709175E-02
46	12	2.6516184408894181E-02
47	12	3.0197383422318501E-02
48	12	3.7253849396215809E-02
49	12	2.5476469946681016E-02
50	12	2.5476469946681016E-02
51	12	3.0807411032751076E-02
52	12	3.0807411032751076E-02
53	12	3.8774207831722009E-02
54	12	2.2148178957037315E-02
55	12	2.2595601851121864E-02
56	12	3.2386940772907040E-02
57	12	2.2595601851121864E-02
58	12	2.5991128778755347E-02
59	12	3.2386940772907040E-02
60	12	3.3708676899572396E-02
61	12	4.1171870939067740E-02
62	12	2.1709615629848571E-02
63	12	5.7268760265467358E-02
64	12	2.8724639654239433E-02
65	12	3.6516173753740402E-02
66	12	2.7598330423249287E-02
67	12	3.4047454734599344E-02
68	12	5.3933687300356019E-02
69	12	3.0807411032751076E-02
70	12	4.4600955340274535E-02
71	12	4.0356613272031147E-02
72	12	1.2651240568005305E-02
73	12	9.7295747089532758E-02
74	12	1.1678566970395442E-02
75	12	3.8006427075174314E-02
76	12	2.9599435167891999E-02
77	12	2.8155853680300106E-02
78	12	4.0356613272031147E-02
79	12	2.8155853680300106E-02
0	13	0.000E+000
1	13	2.1122532717327142E-03
2	13	2.1122532717327142E-03
3	13	2.1122532717327142E-03
4	13	2.1122532717327142E-03
5	13	2.2205508127982939E-03
6	13	2.4054939786195095E-03
7	13	2.5036640502020999E-03
8	13	2.5288262922292556E-03
9	13	2.2881766529221693E-03
10	13	2.4787521766663585E-03
11	13	2.9676051447809441E-03
12	13	2.5799119720271799E-03
13	13	2.8798991580882430E-03
14	13	4.6078219299927519E-03
15	13	4.9915939069102170E-03
16	13	5.8576897133356225E-03
17	13	5.6845688192195950E-03
18	13	5.9760228950059427E-03
19	13	6.4093334462563831E-03
20	13	5.7416996856542021E-03
21	13	8.8264710397267226E-03
22	13	8.0667871390996144E-03
23	13	1.0357959717613696E-02
24	13	9.0047775824365593E-03
25	13	1.1333413154667387E-02
26	13	8.5656093974980606E-03
27	13	1.1447315850505711E-02
28	13	1.1220643809589084E-02
29	13	1.0998460175806881E-02
30	13	1.1795938519751562E-02
31	13	1.1333413154667387E-02
32	13	1.3167547490079751E-02
33	13	1.3568559012200934E-02
34	13	1.3433549594245314E-02
35	13	1.4846368338086832E-02
36	13	2.0858369425214716E-02
37	13	1.8499714119819242E-02
38	13	1.5764416484854486E-02
39	13	1.4407591843112350E-02
40	13	2.0040501061684014E-02
41	13	2.4477523271652670E-02
42	13	2.7323722447292559E-02
43	13	1.6739233558580632E-02
44	13	1.7952964939502866E-02
45	13	1.8873433135151486E-02
46	13	2.1927800894261620E-02
47	13	2.6782676492638175E-02
48	13	1.8133395236801075E-02
49	13	2.3754103131304997E-02
50	13	2.4972002042276155E-02
51	13	2.8155853680300106E-02
52	13	2.2595601851121864E-02
53	13	3.0197383422318501E-02
54	13	2.3283740374897010E-02
55	13	3.2712434939019819E-02
56	13	2.8724639654239433E-02
57	13	2.7875698255247015E-02
58	13	2.5476469946681016E-02
59	13	2.2822691425092981E-02
60	13	3.0197383422318501E-02
61	13	2.0858369425214716E-02
62	13	2.9896914436926322E-02
63	13	2.9013327082197053E-02
64	13	3.5793105067655297E-02
65	13	3.2064685327860769E-02
66	13	3.5436957721598640E-02
67	13	3.6883167401240015E-02
68	13	4.2852126867040187E-02
69	13	2.6252343965687961E-02
70	13	3.6152831754046426E-02
71	13	3.0807411032751076E-02
72	13	4.1171870939067740E-02
73	13	3.1745636378067939E-02
74	13	3.2064685327860769E-02
75	13	5.1818917172725833E-02
76	13	3.4047454734599344E-02
77	13	3.0500872171217483E-02
78	13	4.9787068367863944E-02
79	13	2.1493601345089923E-02
80	13	4.0356613272031147E-02
81	13	2.3754103131304997E-02
82	13	4.1171870939067740E-02
83	13	4.6421154857431271E-02
0	14	0.000E+000
1	14	2.1122532717327142E-03
2	14	2.1122532717327142E-03
3	14	2.1122532717327142E-03
4	14	2.1122532717327142E-03
5	14	2.1334817700377081E-03
6	14	2.2654089148143220E-03
7	14	2.3111732106021292E-03
8	14	2.2654089148143220E-03
9	14	2.7947852750368437E-03
10	14	2.2428677194858034E-03
11	14	2.6852001769538205E-03
12	14	2.8228733340153363E-03
13	14	3.1827807965096669E-03
14	14	2.5799119720271799E-03
15	14	4.5619733357350964E-03
16	14	4.9419267176798220E-03
17	14	5.6845688192195950E-03
18	14	4.9915939069102170E-03
19	14	5.7416996856542021E-03
20	14	5.9760228950059427E-03
21	14	6.6709033062552743E-03
22	14	7.5214224749932702E-03
23	14	8.0667871390996144E-03
24	14	7.5214224749932702E-03
25	14	1.1447315850505711E-02
26	14	6.9431480347461145E-03
27	14	8.1478596976799888E-03
28	14	9.9518183078484198E-03
29	14	1.2525358621074385E-02
30	14	9.0047775824365593E-03
31	14	1.0780676072743084E-02
32	14	1.4264233908999256E-02
33	14	1.1678566970395442E-02
34	14	1.1220643809589084E-02
35	14	1.3704925297364945E-02
36	14	1.1914489672789647E-02
37	14	1.5146284873046980E-02
38	14	1.7077388507484793E-02
39	14	2.1493601345089923E-02
40	14	1.3036528203437736E-02
41	14	2.0858369425214716E-02
42	14	1.7249019115346279E-02
43	14	1.9643672553065292E-02
44	14	1.9254701775386920E-02
45	14	1.9063114291611637E-02
46	14	2.0040501061684014E-02
47	14	2.2370771856165601E-02
48	14	2.1709615629848571E-02
49	14	1.4995576820477703E-02
50	14	1.9841094744370288E-02
51	14	2.4233967845691113E-02
52	14	2.2370771856165601E-02
53	14	2.0650825181712566E-02
54	14	2.5476469946681016E-02
55	14	2.2148178957037315E-02
56	14	2.3283740374897010E-02
57	14	2.5476469946681016E-02
58	14	2.8724639654239433E-02
59	14	2.7051846866350416E-02
60	14	2.3283740374897010E-02
61	14	2.9896914436926322E-02
62	14	3.2712434939019819E-02
63	14	2.4233967845691113E-02
64	14	1.9448214745385391E-02
65	14	2.7323722447292559E-02
66	14	3.0197383422318501E-02
67	14	3.0807411032751076E-02
68	14	2.6782676492638175E-02
69	14	3.8774207831722009E-02
70	14	3.1429762018367710E-02
71	14	4.4157168419692860E-02
72	14	3.2712434939019819E-02
73	14	4.1171870939067740E-02
74	14	2.6782676492638175E-02
75	14	3.2064685327860769E-02
76	14	2.8724639654239433E-02
77	14	5.0287436723591865E-02
78	14	2.9013327082197053E-02
79	14	4.2425741080511385E-02
80	14	2.5991128778755347E-02
81	14	3.2386940772907040E-02
82	14	3.2386940772907040E-02
83	14	3.0500872171217483E-02
84	14	4.1585655121173161E-02
85	14	3.0197383422318501E-02
86	14	2.4723526470339388E-02
87	14	2.9013327082197053E-02
88	14	5.2865728738350368E-02
89	14	2.1493601345089923E-02
0	15	0.000E+000
1	15	2.1122532717327142E-03
2	15	2.1122532717327142E-03
3	15	2.1122532717327142E-03
4	15	2.1122532717327142E-03
5	15	2.1122532717327142E-03
6	15	2.1765809607151255E-03
7	15	2.1984559630425313E-03
8	15	2.3344008875291352E-03
9	15	2.2881766529221693E-03
10	15	2.5288262922292556E-03
11	15	2.7947852750368437E-03
12	15	2.5799119720271799E-03
13	15	2.6584819887763671E-03
14	15	2.8512436826796323E-03
15	15	2.8512436826796323E-03
16	15	4.5619733357350964E-03
17	15	4.8927537252394758E-03
18	15	4.9419267176798220E-03
19	15	5.3535253026599028E-03
20	15	6.0360829235995648E-03
21	15	5.2475183991813846E-03
22	15	6.2824201408011177E-03
23	15	6.3455595129091160E-03
24	15	7.7504838911366921E-03
25	15	7.1545983723145792E-03
26	15	7.0834089290521185E-03
27	15	9.5616019305435045E-03
28	15	8.6516952031206341E-03
29	15	6.4737483182894049E-03
30	15	8.7386461854732905E-03
31	15	8.3959989674914706E-03
32	15	9.8527960611872571E-03
33	15	1.3167547490079751E-02
34	15	1.1678566970395442E-02
35	15	1.5452260123909515E-02
36	15	9.8527960611872571E-03
37	15	1.6572675401761255E-02
38	15	1.1795938519751562E-02
39	15	1.2034232284723775E-02
40	15	1.3299883542443767E-02
41	15	2.0241911445804391E-02
42	15	1.7077388507484793E-02
43	15	1.4264233908999256E-02
44	15	1.9063114291611637E-02
45	15	1.5298507566725518E-02
46	15	2.0040501061684014E-02
47	15	1.8873433135151486E-02
48	15	1.7774329953659442E-02
49	15	2.0445346037937653E-02
50	15	1.8133395236801075E-02
51	15	1.9254701775386920E-02
52	15	1.8873433135151486E-02
53	15	2.4972002042276155E-02
54	15	1.8685639337732773E-02
55	15	2.0241911445804391E-02
56	15	2.9013327082197053E-02
57	15	2.3283740374897010E-02
58	15	1.9063114291611637E-02
59	15	2.3754103131304997E-02
60	15	3.3041200375886932E-02
61	15	2.0040501061684014E-02
62	15	2.3283740374897010E-02
63	15	2.2370771856165601E-02
64	15	2.4233967845691113E-02
65	15	2.4972002042276155E-02
66	15	2.3754103131304997E-02
67	15	2.6252343965687961E-02
68	15	2.5476469946681016E-02
69	15	2.6516184408894181E-02
70	15	2.9013327082197053E-02
71	15	3.2064685327860769E-02
72	15	3.2386940772907040E-02
73	15	3.4735258944738563E-02
