0 0 1 0.0 0.0 Infinity 0.01 8.8E-8
0 0 2 0.0 0.0 1.5 0.02 8.0E-8
0 0 3 0.0 0.0 1.5 0.03 3.9E-8
0 0 4 0.0 0.0 2.0 0.04 2.0E-8
0 0 5 0.0 0.0 2.5 0.05 1.0E-8
0 0 6 0.0 0.0 15.5 Infinity 0.0
1 0 0 Infinity 0.0 0.0 0.13 2.9E-8
2 0 0 0.8600000000000012 0.0 0.0 0.2 3.2E-8
3 0 0 1.2399999999999984 0.0 0.0 0.25 2.3E-8
4 0 0 1.5 0.0 0.0 0.2 1.7E-8
5 0 0 1.0499999999999972 0.0 0.0 0.12 5.0E-9
6 0 0 2.0100000000000016 0.0 0.0 0.3 1.0E-9
7 0 0 1.4600000000000009 0.0 0.0 Infinity 0.0
8 0 0 2.280000000000001 0.0 0.0 Infinity 0.0
0 1 0 Infinity Infinity 0.0 1.3 1.8E-6
1 1 0 3.263245325164233 3.263245325164233 0.0 Infinity 0.0
2 1 0 2.675369406791207 -0.2113852680445607 0.0 Infinity 0.0
3 1 0 2.430648682553066 -3.930736585491495 0.0 Infinity 0.0
4 1 0 2.348540591765609 -7.732195993725885 0.0 Infinity 0.0
5 1 0 1.4745432911525498 -12.407652702573337 0.0 Infinity 0.0
6 1 0 -1.0363458708545075 -19.593998573427843 0.0 Infinity 0.0
7 1 0 -5.919630354115981 -31.663628927543826 0.0 Infinity 0.0
8 1 0 -13.801314426784593 -51.61494335432842 0.0 Infinity 0.0
0 2 0 Infinity -0.04999999999999982 0.0 Infinity 0.0
1 2 0 6.06526250108481 2.7520171759205763 0.0 Infinity 0.0
2 2 0 4.702020248529054 4.778668017658424 0.0 Infinity 0.0
3 2 0 4.080187316182014 6.428206651287374 0.0 Infinity 0.0
4 2 0 3.673962622347654 7.753628681869417 0.0 Infinity 0.0
5 2 0 3.4116767396568832 9.690762130373752 0.0 Infinity 0.0
6 2 0 3.236372202167626 13.963480203395878 0.0 Infinity 0.0
7 2 0 3.1058035053647544 22.988914062876617 0.0 Infinity 0.0
8 2 0 2.9924371061601 39.7826655958213 0.0 Infinity 0.0
9 2 0 2.883451422892527 67.86402018401871 0.0 Infinity 0.0
10 2 0 2.780736835327833 111.16115947376012 0.0 Infinity 0.0
11 2 0 2.7008956846588177 173.91637414555868 0.0 Infinity 0.0
12 2 0 2.675242273505127 260.59127668386816 0.0 Infinity 0.0
13 2 0 2.749802865913736 375.7720141468017 0.0 Infinity 0.0
0 3 0 Infinity Infinity 0.0 Infinity 0.0
1 3 0 Infinity 1.7702668388577187 0.0 Infinity 0.0
2 3 0 5.465036396372687 2.5332829867013515 0.0 Infinity 0.0
3 3 0 4.980977519319065 3.4340731898384025 0.0 Infinity 0.0
4 3 0 4.588077047577247 4.348187615067996 0.0 Infinity 0.0
5 3 0 4.269046829198022 5.205557704609134 0.0 Infinity 0.0
6 3 0 4.00936948918736 5.978554991628869 0.0 Infinity 0.0
7 3 0 3.7972984295064514 6.670049915770566 0.0 Infinity 0.0
8 3 0 3.6238578290716816 7.301470638682144 0.0 Infinity 0.0
9 3 0 3.4828426437545943 7.900861859544214 0.0 Infinity 0.0
10 3 0 3.3708186063820094 8.490943630598387 0.0 Infinity 0.0
11 3 0 3.2871222267359173 9.077170172675494 0.0 Infinity 0.0
12 3 0 3.2338607915534183 9.635788690723786 0.0 Infinity 0.0
13 3 0 3.215912364526986 10.101898189337035 0.0 Infinity 0.0
14 3 0 3.2409257863040963 10.357508288282979 0.0 Infinity 0.0
15 3 0 3.3193206744876065 10.219598038031613 0.0 Infinity 0.0
16 3 0 3.4642874236355112 9.428174735282852 0.0 Infinity 0.0
17 3 0 3.6917872052608303 7.6343327384954165 0.0 Infinity 0.0
0 4 0 Infinity NaN 0.0 Infinity 0.0
1 4 0 Infinity 1.5864099456150011 0.0 Infinity 0.0
2 4 0 5.831148814377187 1.952522363619499 0.0 Infinity 0.0
3 4 0 5.462879999734955 2.434424844035391 0.0 Infinity 0.0
4 4 0 5.138571828141211 2.984919624599355 0.0 Infinity 0.0
5 4 0 4.852689738900549 3.5685625343018845 0.0 Infinity 0.0
6 4 0 4.600406025611829 4.159599070726355 0.0 Infinity 0.0
7 4 0 4.377599836168134 4.739900477388041 0.0 Infinity 0.0
8 4 0 4.180857172756827 5.296899821073186 0.0 Infinity 0.0
9 4 0 4.007470891859462 5.821528069178051 0.0 Infinity 0.0
10 4 0 3.8554407042518797 6.306150167047921 0.0 Infinity 0.0
11 4 0 3.723473175004166 6.742501115316166 0.0 Infinity 0.0
12 4 0 3.610981723480581 7.119622047243329 0.0 Infinity 0.0
13 4 0 3.518086623339755 7.421796306056095 0.0 Infinity 0.0
14 4 0 3.4456150025344456 7.626485522286444 0.0 Infinity 0.0
15 4 0 3.395100843311724 7.702265691110561 0.0 Infinity 0.0
16 4 0 3.3687849822128513 7.606763249687901 0.0 Infinity 0.0
17 4 0 3.369615110073383 7.284591154500454 0.0 Infinity 0.0
18 4 0 3.4012457720230884 6.6652849586914655 0.0 Infinity 0.0
19 4 0 3.468038367486024 5.6612388894047 0.0 Infinity 0.0
0 5 0 Infinity NaN 0.0 Infinity 0.0
1 5 0 Infinity 1.5530073077584152 0.0 Infinity 0.0
2 5 0 6.034830099313179 1.7566885926944114 0.0 Infinity 0.0
3 5 0 5.748480479887341 2.0422890728467937 0.0 Infinity 0.0
4 5 0 5.484744238187359 2.3884614828929447 0.0 Infinity 0.0
5 5 0 5.2417844400252385 2.7775561840176337 0.0 Infinity 0.0
